Name
^NSEI
^NSEBANK
^BSESN
AARTIIND.NS
ABB.NS
ABFRL.NS
ACC.NS
ADANIENSOL.NS
ADANIENT.NS
ADANIGREEN.NS
ADANIPORTS.NS
ALKEM.NS
AMBUJACEM.NS
ANGELONE.NS
APLAPOLLO.NS
APOLLOHOSP.NS
APOLLOTYRE.NS
ASHOKLEY.NS
ASIANPAINT.NS
ASTRAL.NS
ATGL.NS
ATUL.NS
AUBANK.NS
AUROPHARMA.NS
AXISBANK.NS
BAJAJ-AUTO.NS
BAJAJFINSV.NS
BAJFINANCE.NS
BALKRISIND.NS
BANKBARODA.NS
BATAINDIA.NS
BEL.NS
BERGEPAINT.NS
BHARATFORG.NS
BHARTIARTL.NS
BHEL.NS
BIOCON.NS
BPCL.NS
BRITANNIA.NS
BSE.NS
BSOFT.NS
CAMS.NS
CANFINHOME.NS
CDSL.NS
CGPOWER.NS
CHAMBLFERT.NS
CHOLAFIN.NS
CIPLA.NS
COALINDIA.NS
COFORGE.NS
COLPAL.NS
CONCOR.NS
COROMANDEL.NS
CROMPTON.NS
CUMMINSIND.NS
CYIENT.NS
DABUR.NS
DALBHARAT.NS
DEEPAKNTR.NS
DELHIVERY.NS
DIVISLAB.NS
DIXON.NS
DLF.NS
DMART.NS
DRREDDY.NS
EICHERMOT.NS
ESCORTS.NS
EXIDEIND.NS
FEDERALBNK.NS
GAIL.NS
GLENMARK.NS
GNFC.NS
GODREJCP.NS
GODREJPROP.NS
GRANULES.NS
GRASIM.NS
GUJGASLTD.NS
HAL.NS
HAVELLS.NS
HCLTECH.NS
HDFCAMC.NS
HDFCBANK.NS
HDFCLIFE.NS
HEROMOTOCO.NS
HINDALCO.NS
HINDCOPPER.NS
HINDPETRO.NS
HINDUNILVR.NS
HUDCO.NS
ICICIBANK.NS
ICICIGI.NS
ICICIPRULI.NS
IGL.NS
INDHOTEL.NS
INDIAMART.NS
INDIANB.NS
INDIGO.NS
INDUSINDBK.NS
INDUSTOWER.NS
INFY.NS
IPCALAB.NS
IRCTC.NS
ITC.NS
JINDALSTEL.NS
JIOFIN.NS
JKCEMENT.NS
JSL.NS
JSWENERGY.NS
JSWSTEEL.NS
JUBLFOOD.NS
KALYANKJIL.NS
KEI.NS
KOTAKBANK.NS
KPITTECH.NS
LALPATHLAB.NS
LAURUSLABS.NS
LICHSGFIN.NS
LICI.NS
LODHA.NS
LT.NS
LTIM.NS
LTTS.NS
LUPIN.NS
M&M.NS
M&MFIN.NS
MARICO.NS
MARUTI.NS
MAXHEALTH.NS
MCX.NS
METROPOLIS.NS
MFSL.NS
MGL.NS
MPHASIS.NS
MUTHOOTFIN.NS
NATIONALUM.NS
NAUKRI.NS
NAVINFLUOR.NS
NCC.NS
NESTLEIND.NS
NMDC.NS
NTPC.NS
OBEROIRLTY.NS
OFSS.NS
OIL.NS
ONGC.NS
PAYTM.NS
PEL.NS
PERSISTENT.NS
PETRONET.NS
PFC.NS
PIDILITIND.NS
PIIND.NS
POLICYBZR.NS
POLYCAB.NS
POONAWALLA.NS
POWERGRID.NS
PRESTIGE.NS
PVRINOX.NS
RAMCOCEM.NS
RECLTD.NS
RELIANCE.NS
SBICARD.NS
SBILIFE.NS
SBIN.NS
SHRIRAMFIN.NS
SIEMENS.NS
SONACOMS.NS
SRF.NS
SUNPHARMA.NS
SUNTV.NS
SUPREMEIND.NS
SYNGENE.NS
TATACHEM.NS
TATACOMM.NS
TATACONSUM.NS
TATAELXSI.NS
TATAMOTORS.NS
TATAPOWER.NS
TCS.NS
TECHM.NS
TIINDIA.NS
TITAN.NS
TORNTPHARM.NS
TRENT.NS
TVSMOTOR.NS
UBL.NS
ULTRACEMCO.NS
UNITDSPR.NS
UPL.NS
VBL.NS
VEDL.NS
VOLTAS.NS
WIPRO.NS
ZOMATO.NS
ZYDUSLIFE.NS
